source,destination,timestamp
frontend,adservice,2026-03-24 09:10:00
currencyservice-76f5d795cc-8c7mz,node-227,2026-03-24 09:10:00
checkoutservice,currencyservice,2026-03-24 09:10:00
frontend,productcatalogservice,2026-03-24 09:10:00
frontend,shippingservice,2026-03-24 09:10:00
checkoutservice,shippingservice,2026-03-24 09:10:00
frontend,checkoutservice,2026-03-24 09:10:00
emailservice-59c9565948-8g9bx,node-227,2026-03-24 09:10:00
checkoutservice,productcatalogservice,2026-03-24 09:10:00
shippingservice-f899f4b4c-wc9v4,node-221,2026-03-24 09:10:00
redis-cart-58fbf7f7c6-k7fnt,node-5,2026-03-24 09:10:00
recommendationservice,productcatalogservice,2026-03-24 09:10:00
productcatalogservice-596d5c8f9f-gkz8l,node-219,2026-03-24 09:10:00
frontend,cartservice,2026-03-24 09:10:00
checkoutservice,paymentservice,2026-03-24 09:10:00
frontend,currencyservice,2026-03-24 09:10:00
frontend,recommendationservice,2026-03-24 09:10:00
frontend-77cd85d5b4-qvc6w,node-5,2026-03-24 09:10:00
cartservice-7d5b58b444-hx8vh,node-227,2026-03-24 09:10:00
checkoutservice,emailservice,2026-03-24 09:10:00
checkoutservice-7b67c7c4c8-stjfw,node-227,2026-03-24 09:10:00
recommendationservice-5c8d676599-v4qcr,node-227,2026-03-24 09:10:00
checkoutservice,cartservice,2026-03-24 09:10:00
adservice-b87685d75-vbkk7,node-227,2026-03-24 09:10:00
paymentservice-54569c46cc-gpfvj,node-227,2026-03-24 09:10:00
redis-cart-58fbf7f7c6-k7fnt,node-5,2026-03-24 09:10:05
emailservice-59c9565948-8g9bx,node-227,2026-03-24 09:10:05
checkoutservice,cartservice,2026-03-24 09:10:05
frontend,checkoutservice,2026-03-24 09:10:05
paymentservice-54569c46cc-gpfvj,node-227,2026-03-24 09:10:05
recommendationservice,productcatalogservice,2026-03-24 09:10:05
frontend,productcatalogservice,2026-03-24 09:10:05
frontend-77cd85d5b4-qvc6w,node-5,2026-03-24 09:10:05
frontend,cartservice,2026-03-24 09:10:05
recommendationservice-5c8d676599-v4qcr,node-227,2026-03-24 09:10:05
productcatalogservice-596d5c8f9f-gkz8l,node-219,2026-03-24 09:10:05
currencyservice-76f5d795cc-8c7mz,node-227,2026-03-24 09:10:05
checkoutservice,productcatalogservice,2026-03-24 09:10:05
adservice-b87685d75-vbkk7,node-227,2026-03-24 09:10:05
checkoutservice,paymentservice,2026-03-24 09:10:05
shippingservice-f899f4b4c-wc9v4,node-221,2026-03-24 09:10:05
checkoutservice,emailservice,2026-03-24 09:10:05
checkoutservice-7b67c7c4c8-stjfw,node-227,2026-03-24 09:10:05
cartservice-7d5b58b444-hx8vh,node-227,2026-03-24 09:10:05
frontend,currencyservice,2026-03-24 09:10:05
frontend,adservice,2026-03-24 09:10:05
frontend,shippingservice,2026-03-24 09:10:05
checkoutservice,currencyservice,2026-03-24 09:10:05
frontend,recommendationservice,2026-03-24 09:10:05
checkoutservice,shippingservice,2026-03-24 09:10:05
frontend-77cd85d5b4-qvc6w,node-5,2026-03-24 09:10:10
cartservice-7d5b58b444-hx8vh,node-227,2026-03-24 09:10:10
checkoutservice,emailservice,2026-03-24 09:10:10
adservice-b87685d75-vbkk7,node-227,2026-03-24 09:10:10
paymentservice-54569c46cc-gpfvj,node-227,2026-03-24 09:10:10
frontend,currencyservice,2026-03-24 09:10:10
currencyservice-76f5d795cc-8c7mz,node-227,2026-03-24 09:10:10
recommendationservice,productcatalogservice,2026-03-24 09:10:10
frontend,cartservice,2026-03-24 09:10:10
productcatalogservice-596d5c8f9f-gkz8l,node-219,2026-03-24 09:10:10
checkoutservice,paymentservice,2026-03-24 09:10:10
shippingservice-f899f4b4c-wc9v4,node-221,2026-03-24 09:10:10
redis-cart-58fbf7f7c6-k7fnt,node-5,2026-03-24 09:10:10
checkoutservice,productcatalogservice,2026-03-24 09:10:10
checkoutservice,currencyservice,2026-03-24 09:10:10
frontend,checkoutservice,2026-03-24 09:10:10
frontend,productcatalogservice,2026-03-24 09:10:10
checkoutservice-7b67c7c4c8-stjfw,node-227,2026-03-24 09:10:10
frontend,recommendationservice,2026-03-24 09:10:10
emailservice-59c9565948-8g9bx,node-227,2026-03-24 09:10:10
checkoutservice,cartservice,2026-03-24 09:10:10
recommendationservice-5c8d676599-v4qcr,node-227,2026-03-24 09:10:10
checkoutservice,shippingservice,2026-03-24 09:10:10
frontend,shippingservice,2026-03-24 09:10:10
frontend,adservice,2026-03-24 09:10:10
